Chemical Information										Mixture Information				exact mass		theoretical m/z			measured m/z			Ion mobilty			Chromatography				NAPS RT Pre																					NAPS RT Post																			
ChEBI name	ChEBI	KEGG	HMDB	LipidMaps	SMILES	InChI	InChIKey	formula		Chemical Exposome	Mixture	Mix Name		M		[M+H]+	[M+Na]+		[M+H]+	[M+Na]+		CCS [M+H]+	CCS [M+Na]+		RT (apex)	RT (minim)	RT (maxim)		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20		C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
carnosine	CHEBI:15727	C00386	HMDB0000033		NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O	InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1	CQOVPNPJLQNMDC-ZETCQYMHSA-N	C9H14N4O3		Human Endosome	1.1	Human Endosome_1.1		226.1065903		227.1138663	249.0958103		227.1137	249.0956					0.396	0.356	0.645		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
alpha-D-glucosamine 6-phosphate	CHEBI:15873	C00352	HMDB0001254		N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O	InChI=1S/C6H14NO8P/c7-3-5(9)4(8)2(15-6(3)10)1-14-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)/t2-,3-,4-,5-,6+/m1/s1	XHMJOUIAFHJHBW-UKFBFLRUSA-N	C6H14NO8P		Human Endosome	1.1	Human Endosome_1.1		259.045703		260.052979	282.034923		260.0532	282.0343					0.426	0.376	0.595		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
O(4)-phospho-L-tyrosine	CHEBI:37788	C06501	HMDB0006049		N[C@@H](CC1=CC=C(OP(O)(O)=O)C=C1)C(O)=O	InChI=1S/C9H12NO6P/c10-8(9(11)12)5-6-1-3-7(4-2-6)16-17(13,14)15/h1-4,8H,5,10H2,(H,11,12)(H2,13,14,15)/t8-/m0/s1	DCWXELXMIBXGTH-QMMMGPOBSA-N	C9H12NO6P		Human Endosome	1.1	Human Endosome_1.1		261.0402237		262.0474997	284.0294437		262.0481	Not detected					0.496	0.426	1.284		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
homocystine	CHEBI:17485	C01817	HMDB0000575		NC(CCSSCCC(N)C(O)=O)C(O)=O	InChI=1S/C8H16N2O4S2/c9-5(7(11)12)1-3-15-16-4-2-6(10)8(13)14/h5-6H,1-4,9-10H2,(H,11,12)(H,13,14)	ZTVZLYBCZNMWCF-UHFFFAOYSA-N	C8H16N2O4S2		Human Endosome	1.1	Human Endosome_1.1		268.055149		269.062425	291.044369		269.0631	Detected with low intensity					0.446	0.406	0.575		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
glutathione	CHEBI:16856	C00051	HMDB0000125		N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	RWSXRVCMGQZWBV-WDSKDSINSA-N	C10H17N3O6S		Human Endosome	1.1	Human Endosome_1.1		307.0838063		308.0910823	330.0730263		308.0921	Detected with low intensity					0.506	0.466	0.615		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
uridine 5'-monophosphate	CHEBI:16695	C00105	HMDB0000288	LMST04010033	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O	InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	DJJCXFVJDGTHFX-XVFCMESISA-N	C9H13N2O9P		Human Endosome	1.1	Human Endosome_1.1		324.0358666		325.0431426	347.0250866		Not detected	Not detected									0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
alpha-D-glucosyl-(1->4)-alpha-D-mannose	CHEBI:47937	C00208	HMDB0000163		OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8+,9-,10-,11+,12-/m1/s1	GUBGYTABKSRVRQ-DKBJLJRDSA-N	C12H22O11		Human Endosome	1.1	Human Endosome_1.1		342.1162115		343.1234875	365.1054315		Not detected	365.1048					0.416	0.396	0.496		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
guanosine 5'-monophosphate	CHEBI:17345	C00144	HMDB0001397		NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1	InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1	RQFCJASXJCIDSX-UUOKFMHZSA-N	C10H14N5O8P		Human Endosome	1.1	Human Endosome_1.1		363.057999		364.065275	386.047219		364.0659	Not detected					0.506	0.436	1.343		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
S-adenosyl-L-methionine	CHEBI:15414	C00019	HMDB0001185		C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N	InChI=1S/C15H22N6O5S/c1-27(3-2-7(16)15(24)25)4-8-10(22)11(23)14(26-8)21-6-20-9-12(17)18-5-19-13(9)21/h5-8,10-11,14,22-23H,2-4,16H2,1H3,(H2-,17,18,19,24,25)/p+1/t7-,8+,10+,11+,14+,27?/m0/s1	MEFKEPWMEQBLKI-AIRLBKTGSA-O	C15H23N6O5S		Human Endosome	1.1	Human Endosome_1.1		399.1450638		400.1523398	422.1342838		Not detected	Not detected									0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
CTP	CHEBI:17677	C00063	HMDB0000082		NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	PCDQPRRSZKQHHS-XVFCMESISA-N	C9H16N3O14P3		Human Endosome	1.1	Human Endosome_1.1		482.9845121		483.9917881	505.9737321		Not detected	Not detected									0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-alpha-aminobutyric acid	CHEBI:35619	C02356	HMDB0000452		CC[C@H](N)C(O)=O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1	QWCKQJZIFLGMSD-VKHMYHEASA-N	C4H9NO2		Human Endosome	1.2	Human Endosome_1.2		103.0633285		104.0706045	126.0525485												0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
N-acetylglycine	CHEBI:40410		HMDB0000532		CC(=O)NCC(O)=O	InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2,1H3,(H,5,6)(H,7,8)	OKJIRPAQVSHGFK-UHFFFAOYSA-N	C4H7NO3		Human Endosome	1.2	Human Endosome_1.2		117.0425931		118.0498691	140.0318131												0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
(2R)-2-acetamidopropanoic acid					C[C@H](C(=O)O)NC(=O)C	InChI=1S/C5H9NO3/c1-3(5(8)9)6-4(2)7/h3H,1-2H3,(H,6,7)(H,8,9)/t3-/m1/s1	KTHDTJVBEPMMGL-GSVOUGTGSA-N	C5H9NO3		Human Endosome	1.2	Human Endosome_1.2		131.0582431		132.0655191	154.0474631		104.0704	Not detected					0.465	0.455	0.654		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-asparagine	CHEBI:17196	C00152	HMDB0000168		N[C@@H](CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1	DCXYFEDJOCDNAF-REOHCLBHSA-N	C4H8N2O3		Human Endosome	1.2	Human Endosome_1.2		132.0534921		133.0607681	155.0427121		Not detected	Not detected									0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
D-erythronic acid	CHEBI:37655		HMDB0000613		OC[C@@H](O)[C@@H](O)C(O)=O	InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3-/m1/s1	JPIJQSOTBSSVTP-PWNYCUMCSA-N	C4H8O5		Human Endosome	1.2	Human Endosome_1.2		136.0371734		137.0444494	159.0263934		Not detected	Not detected									0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
N-acetyl-L-aspartic acid	CHEBI:21547	C01042	HMDB0000812		CC(=O)N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C6H9NO5/c1-3(8)7-4(6(11)12)2-5(9)10/h4H,2H2,1H3,(H,7,8)(H,9,10)(H,11,12)/t4-/m0/s1	OTCCIMWXFLJLIA-BYPYZUCNSA-N	C6H9NO5		Human Endosome	1.2	Human Endosome_1.2		175.0480724		176.0553484	198.0372924		176.0554	Detected with low intensity					0.524	0.485	0.704		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
N-acetyl-L-glutamine	CHEBI:21553		HMDB0006029		CC(=O)N[C@@H](CCC(N)=O)C(O)=O	InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1	KSMRODHGGIIXDV-YFKPBYRVSA-N	C7H12N2O4		Human Endosome	1.2	Human Endosome_1.2		188.0797069		189.0869829	211.0689269		189.0874	211.0697					0.494	0.455	0.684		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-homocitrulline	CHEBI:17443	C02427	HMDB0000679		N[C@@H](CCCCNC(N)=O)C(O)=O	InChI=1S/C7H15N3O3/c8-5(6(11)12)3-1-2-4-10-7(9)13/h5H,1-4,8H2,(H,11,12)(H3,9,10,13)/t5-/m0/s1	XIGSAGMEBXLVJJ-YFKPBYRVSA-N	C7H15N3O3		Human Endosome	1.2	Human Endosome_1.2		189.1113413		190.1186173	212.1005613		190.1188	212.1003					0.435	0.395	0.564		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
N-carbamoylglutamic acid	CHEBI:86349		HMDB0062795		OC(=O)CCC(NC(O)=N)C(O)=O	InChI=1S/C6H10N2O5/c7-6(13)8-3(5(11)12)1-2-4(9)10/h3H,1-2H2,(H,9,10)(H,11,12)(H3,7,8,13)	LCQLHJZYVOQKHU-UHFFFAOYSA-N	C6H10N2O5		Human Endosome	1.2	Human Endosome_1.2		190.0589714		191.0662474	213.0481914		191.0672	Detected with low intensity					0.514	0.465	0.584		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
L-tryptophan	CHEBI:16828	C00078	HMDB0000929		N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1	QIVBCDIJIAJPQS-VIFPVBQESA-N	C11H12N2O2		Human Endosome	1.2	Human Endosome_1.2		204.0898776		205.0971536	227.0790976		205.098	Detected with low intensity					1.801	1.721	1.971		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
kynurenine	CHEBI:28683	C01718			NC(CC(=O)c1ccccc1N)C(O)=O	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)	YGPSJZOEDVAXAB-UHFFFAOYSA-N	C10H12N2O3		Human Endosome	1.2	Human Endosome_1.2		208.0847922		209.0920682	231.0740122		209.0925	Detected with low intensity					0.913	0.854	1.093		0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
alpha-D-galactose 1-phosphate	CHEBI:17973	C00446	HMDB0000645		OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C6H13O9P/c7-1-2-3(8)4(9)5(10)6(14-2)15-16(11,12)13/h2-10H,1H2,(H2,11,12,13)/t2-,3+,4+,5-,6-/m1/s1	HXXFSFRBOHSIMQ-FPRJBGLDSA-N	C6H13O9P		Human Endosome	1.2	Human Endosome_1.2		260.0297186		261.0369946	283.0189386		Not detected	Not detected									0.445	0.475	0.565	0.864	2.071	3.407	4.125	4.694	5.192	5.651	6.07	6.489	6.888	7.287	7.676	8.055	8.434	8.803	9.142	9.471		0.452	0.472	0.561	0.871	2.077	3.404	4.132	4.701	5.199	5.648	6.077	6.486	6.895	7.284	7.673	8.062	8.441	8.81	9.149	9.478
